"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"dawn:TELREADOUT:1                    ","Class","TELREADOUT","1.0.0.0","dawn","A single scaler accumulation interval, and the first and last records and SCLKs for which the interval was in effect.","ppi","","","","","","","","","","",""
"dawn:TELREADOUT:2                     dawn:grand_start_sclk:1              ","Attribute","grand_start_sclk","n/a","dawn","The first SCLK for which this readout is applicable","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dawn:TELREADOUT:2                     dawn:grand_stop_sclk:1               ","Attribute","grand_stop_sclk","n/a","dawn","The last SCLK for which this readout is applicable","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dawn:TELREADOUT:2                     dawn:grand_interval:1                ","Attribute","grand_interval","n/a","dawn","The duration of the interval.","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"dawn:TELREADOUT:2                     dawn:comment:1                       ","Attribute","comment","n/a","dawn","Remarks about the containing object.","ppi","ASCII_String","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"dawn:TELREADOUT_List:1               ","Class","TELREADOUT_List","1.0.0.0","dawn","A list of scaler accumulation intervals, along with the records for which they were in effect.","ppi","","","","","","","","","","",""
"dawn:TELSOH:1                        ","Class","TELSOH","1.0.0.0","dawn","A single state-of-health accumulation interval, and the first and last records and SCLKs for which the interval was in effect.","ppi","","","","","","","","","","",""
"dawn:TELSOH:2                         dawn:grand_start_sclk:1              ","Attribute","grand_start_sclk","n/a","dawn","The first SCLK for which this readout is applicable","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dawn:TELSOH:2                         dawn:grand_stop_sclk:1               ","Attribute","grand_stop_sclk","n/a","dawn","The last SCLK for which this readout is applicable","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dawn:TELSOH:2                         dawn:grand_interval:1                ","Attribute","grand_interval","n/a","dawn","The duration of the interval.","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"dawn:TELSOH:2                         dawn:comment:1                       ","Attribute","comment","n/a","dawn","Remarks about the containing object.","ppi","ASCII_String","0","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"dawn:TELSOH_List:1                   ","Class","TELSOH_List","1.0.0.0","dawn","A list of state-of-health accumulation intervals, along with the records for which they were in effect.","ppi","","","","","","","","","","",""
"dawn:fc:1                            ","Class","fc","1.0.0.0","dawn","The Dawn "fc" class is the container for Dawn Framing Camera (FC) specific metadata elements. ","ppi","","","","","","","","","","",""
"dawn:fc:2                             dawn:callamp_delay_time:1            ","Attribute","callamp_delay_time","n/a","dawn","Callamp switch on delay measured in microseconds after START_TIME. Callamp can be switched on before (less than 193000 µs), at (= 193000 µs), or after (greater than 193000 µs) begin of exposure. ","ppi","ASCII_Integer","0","1","0","10000000","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"dawn:fc:2                             dawn:callamp_duty:1                  ","Attribute","callamp_duty","n/a","dawn","The callamp can be run at various duty cycles between 0.0 % and 100.0 % by using only every other pulse of the callamp frequency to trigger the callamp. DAWN_CALLAMP_DUTY = CALLAMP_FREQUENCY / Value * 100 % Example: Value = 1.0 : DAWN_CALLAMP_DUTY = 100 % Value = 2.5 : DAWN_CALLAMP_DUTY = 40 % This calculation is done internally in the camera, the user commands the requensted duty cycle in percentage.","ppi","ASCII_Real","0","1","0.0","100.0","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
